DBInstanceIdentifier|DBName|AvailabilityZone|Engine|DBInstanceClass|Endpoint|VpcId|subnet|Launch_Time|acc_id|Owner|CostCenter|ClarityID|APPType|Environment|BillingContact|InstanceState|BackupID|SchedulerID|TerminationDate|ExceptionList|ChargeID|BackupDR
desiref1prd01-instance-1-eu-west-1b|desiref1prd01|eu-west-1b|aurora-mysql|db.r6g.2xlarge|desiref1prd01-instance-1-eu-west-1b.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-7d2e8a0b,subnet-6c73c308,subnet-018257c47b9cd4b6c|2021-03-25 10:30:42|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS Aurora MySQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|null|null|NOT_REQUESTED
desiref1qa02-instance-1|desiref1qa02|eu-west-1a|aurora-mysql|db.r6g.xlarge|desiref1qa02-instance-1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-04-27 18:03:25|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS Aurora MySQL|PPRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dhmcoreprod01|dhmcoreprod01|eu-west-1a|aurora-mysql|db.r6g.large|dhmcoreprod01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2020-03-23 06:28:08|128010802554|Commercial IT|I410001343|045453|Amazon RDS Aurora MySQL|PRD|BABICGA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dhmcoreprod01-rds|dhmcoreprod01|eu-west-1b|aurora-mysql|db.r6g.large|dhmcoreprod01-rds.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2020-03-23 06:34:11|128010802554|Commercial IT|I410001343|045453|Amazon RDS Aurora MySQL|PRD|BABICGA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dhmcoreprod02|dhmcoreprod01|eu-west-1b|aurora-mysql|db.r6g.large|dhmcoreprod02.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2020-03-23 07:35:37|128010802554|Commercial IT|I410001343|045453|Amazon RDS Aurora MySQL|PRD|BABICGA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dhmcoreqa01|dhmcoreqa01|eu-west-1a|aurora-mysql|db.r6g.large|dhmcoreqa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2019-04-12 11:47:36|128010802554|Commercial IT|I410001343|045453|Amazon RDS Aurora MySQL|PPRD|BABICGA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dhmcoreqa01-eu-west-1b|dhmcoreqa01|eu-west-1b|aurora-mysql|db.r6g.large|dhmcoreqa01-eu-west-1b.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2019-04-12 11:53:52|128010802554|Commercial IT|I410001343|045453|Amazon RDS Aurora MySQL|PPRD|BABICGA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dhmcoressprd01|dhmcoressprd01|eu-west-1a|aurora-mysql|db.r6g.large|dhmcoressprd01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2019-10-27 08:23:55|128010802554|Commercial IT|I410001343|045453|Amazon RDS Aurora MySQL|PRD|BABICGA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dhmcoressprd01-eu-west-1b|dhmcoressprd01|eu-west-1b|aurora-mysql|db.r6g.large|dhmcoressprd01-eu-west-1b.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2019-10-27 08:30:01|128010802554|Commercial IT|I410001343|045453|Amazon RDS Aurora MySQL|PRD|BABICGA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dhmcoressqa01|dhmcoressqa01|eu-west-1a|aurora-mysql|db.r6g.large|dhmcoressqa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2019-09-01 19:54:40|128010802554|Commercial IT|I410001343|045453|Amazon RDS Aurora MySQL|PPRD|BABICGA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dhmcoressqa01-eu-west-1b|dhmcoressqa01|eu-west-1b|aurora-mysql|db.r6g.large|dhmcoressqa01-eu-west-1b.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2019-09-01 20:01:36|128010802554|Commercial IT|I410001343|045453|Amazon RDS Aurora MySQL|PPRD|BABICGA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dragentf1prd01|dragentf1prd01|eu-west-1a|postgres|db.r6g.4xlarge|dragentf1prd01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2021-03-03 12:09:10|128010802554|TAD|1-42165.1.01|050238|Amazon RDS PostgreSQL|PRD|DENGFA3|NA|EBS-NVS-D-35_GMT|SCH-NVS-WRKDAYS_GMT|null|NOT_APPLICABLE|null|NOT_REQUESTED
dragentf1qa01|dragentf1qa01|eu-west-1b|postgres|db.r6g.4xlarge|dragentf1qa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-02-18 15:03:39|128010802554|Technology Architecture and Digital|1-42165.1.01|050238|Amazon RDS PostgreSQL|PPRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dynamof1prd01-16072024-restore|dynamof1prd01|eu-west-1b|aurora-mysql|db.r6g.2xlarge|dynamof1prd01-16072024-restore.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2024-07-16 14:13:13|128010802554|Technology Architecture and Digital|1-42165.1.01|050232|Amazon RDS Aurora MySQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dynamof1prd01-instance-1|dynamof1prd01|eu-west-1a|aurora-mysql|db.r6g.2xlarge|dynamof1prd01-instance-1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2021-09-23 02:16:34|128010802554|Technology Architecture and Digital|1-42165.1.01|050232|Amazon RDS Aurora MySQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dynamof1prd01-instance-1-eu-west-1b|dynamof1prd01|eu-west-1b|aurora-mysql|db.r6g.2xlarge|dynamof1prd01-instance-1-eu-west-1b.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2021-09-23 02:22:38|128010802554|Technology Architecture and Digital|1-42165.1.01|050232|Amazon RDS Aurora MySQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dynamof1qa01-instance-1|Dynamof1qa01|eu-west-1a|aurora-mysql|db.r6g.2xlarge|dynamof1qa01-instance-1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-08-27 02:31:54|128010802554|Technology Architecture and Digital|1-42165.1.01|050232|Amazon RDS Aurora MySQL|TST|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
dynamof1qa01-instance-1-eu-west-1b|Dynamof1qa01|eu-west-1b|aurora-mysql|db.r6g.2xlarge|dynamof1qa01-instance-1-eu-west-1b.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-08-27 02:38:37|128010802554|Technology Architecture and Digital|1-42165.1.01|050232|Amazon RDS Aurora MySQL|TST|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxpprd1|EBXPPRD1|eu-west-1b|oracle-ee|db.m5.2xlarge|ebxpprd1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2024-01-10 14:18:52|128010802554|Technology and Infrastructure Service|I440000082|053062|Amazon Elastic Compute Cloud/CentrifyY|PPRD|PALANSU6|null|NA|NOT_APPLICABLE|null|null|null|null
ebxprd01|EBXPRD01|eu-west-1c|oracle-ee|db.r5.xlarge|ebxprd01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2022-07-20 05:34:08|128010802554|Technology Architecture and Digital|W1-42763.1.01|053062|Amazon RDS Oracle|TST|RAJAMRA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxprd05|EBXPRD05|eu-west-1b|oracle-ee|db.m5.2xlarge|ebxprd05.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2023-02-13 10:39:50|128010802554|Technology and Infrastructure Service|I440000082|053741|Amazon Elastic Compute Cloud/CentrifyY|PRD|BOBBIHA2|null|NA|null|null|null|null|null
ebxprd1|EBXPRD1|eu-west-1b|oracle-ee|db.m5.large|ebxprd1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2024-01-09 15:57:56|128010802554|TAD|1-42165.1.01|053062|Amazon Elastic Compute Cloud/CentrifyY|PRD|SUNDASH6|null|EBS-NVS-D-35_GMT|SCH-NVS-WRKDAYS_GMT|null|null|null|null
ebxqa01|EBXQA01|eu-west-1a|oracle-ee|db.r5.xlarge|ebxqa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-06-02 12:37:26|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|RDS Oracle|PPRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
ebxqa05|EBXQA05|eu-west-1b|oracle-ee|db.m5.2xlarge|ebxqa05.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2023-02-15 15:27:46|128010802554|Technology and Infrastructure Service|I440000082|053741|Amazon Elastic Compute Cloud/CentrifyY|TST|BOBBIHA2|null|EBS-NVS-D-35_GMT|SCH-NVS-WRKDAYS_GMT|null|NOT_APPLICABLE|null|NOT_REQUESTED
eppbmserviceprd|EPPBMPRD|eu-west-1a|oracle-se2|db.m5.2xlarge|eppbmserviceprd.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2022-12-12 16:41:39|128010802554|TIS|868251|050940|Amazon RDS Oracle|PRD|VARMAVE1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
eppbmserviceqa|EPPBMQA|eu-west-1b|oracle-se2|db.m5.2xlarge|eppbmserviceqa.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-11-22 07:51:58|128010802554|TIS|868251|050940|Hadoop/CentrifyY|TST|VARMAVE1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|RDS-NVS02-H12-01_GMT
etpf1prd01-instance-1|etpf1prd01|eu-west-1b|aurora-mysql|db.r6g.xlarge|etpf1prd01-instance-1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-7d2e8a0b,subnet-6c73c308,subnet-018257c47b9cd4b6c|2021-03-01 13:07:11|128010802554|Technology Architecture and Digital|1-42165.1.01|050235|Amazon RDS Aurora MySQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
etpf1prd01-restored-03042024|etpf1prd01|eu-west-1b|aurora-mysql|db.r6g.xlarge|etpf1prd01-restored-03042024.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2024-04-03 14:52:02|128010802554|Technology Architecture and Digital|1-42165.1.01|050235|Amazon RDS Aurora MySQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
etpf1prd01-restored-12012024|etpf1prd01|eu-west-1b|aurora-mysql|db.r4.2xlarge|etpf1prd01-restored-12012024.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2024-01-12 07:00:25|128010802554|Technology Architecture and Digital|1-42165.1.01|050235|Amazon RDS Aurora MySQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
etpf1prd01-snapshot-01082024-cluster-ritm7173719|etpf1prd01|eu-west-1a|aurora-mysql|db.r6g.xlarge|etpf1prd01-snapshot-01082024-cluster-ritm7173719.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2024-08-01 14:44:31|128010802554|Technology Architecture and Digital|1-42165.1.01|050235|Amazon RDS Aurora MySQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
etpf1qa001|etpf1prd01|eu-west-1c|aurora-mysql|db.r6g.xlarge|etpf1qa001.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2023-09-25 10:13:52|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS Aurora MySQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
etpf1qa01|etpf1prd01|eu-west-1b|aurora-mysql|db.r4.2xlarge|etpf1qa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2023-05-26 17:16:25|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS Aurora MySQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
etpf1qa02|etpf1prd01|eu-west-1b|aurora-mysql|db.r5.2xlarge|etpf1qa02.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2023-10-19 10:41:57|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS Aurora MySQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1aiieprd01-instance-1|f1aiieprd01|eu-west-1a|aurora-postgresql|db.r6g.xlarge|f1aiieprd01-instance-1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-08-05 21:48:40|128010802554|Technology Architecture and Digital|1-42165.1.01|050632|Amazon RDS Aurora PostgreSQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|EXC_NVS-RDS-EXC036_NA_RITM5805355_20240507|null|NOT_REQUESTED
f1aiieprd01-instance-1-eu-west-1b|f1aiieprd01|eu-west-1b|aurora-postgresql|db.t3.medium|f1aiieprd01-instance-1-eu-west-1b.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-08-05 21:53:04|128010802554|Technology Architecture and Digital|1-42165.1.01|050632|Amazon RDS Aurora PostgreSQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|EXC_NVS-RDS-EXC036_NA_RITM5805355_20240507|null|NOT_REQUESTED
f1aiieqa01-instance-1|f1aiieqa01|eu-west-1b|aurora-postgresql|db.t3.medium|f1aiieqa01-instance-1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-07-08 18:22:47|128010802554|Technology Architecture and Digital|1-42165.1.01|050632|Amazon RDS Aurora PostgreSQL|PPRD|DENGFA3|null|null|NOT_REQUESTED|null|EXC_NVS-RDS-EXC036_NA_RITM5805355_20240507|null|NOT_REQUESTED
f1airflowcontainerprod01db-instance-1|f1airflowcontainerPROD01DB|eu-west-1b|aurora-postgresql|db.r6g.2xlarge|f1airflowcontainerprod01db-instance-1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-01-11 17:04:14|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS Aurora PostgreSQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1airflowcontainerqa01db-instance-1|f1airflowcontainerQA01DB|eu-west-1a|aurora-postgresql|db.r6g.2xlarge|f1airflowcontainerqa01db-instance-1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-01-11 13:39:22|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS Aurora PostgreSQL|PPRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1andromedaeuieprod01|f1andromedaeuieprod01|eu-west-1a|postgres|db.t4g.xlarge|f1andromedaeuieprod01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-7d2e8a0b,subnet-6c73c308,subnet-018257c47b9cd4b6c|2022-02-12 11:22:43|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS PostgreSQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1csenserstudioprd01|f1csenserstudioprd01|eu-west-1a|postgres|db.r6g.large|f1csenserstudioprd01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-7d2e8a0b,subnet-6c73c308,subnet-018257c47b9cd4b6c|2020-05-31 17:26:34|128010802554|Technology Architecture and Digital|1-41460.2|050263|Amazon RDS PostgreSQL|PRD|REIDSH1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1csenserstudioqa01|f1rstudiosenseqauser1|eu-west-1a|postgres|db.r6g.large|f1csenserstudioqa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2020-05-12 22:59:08|128010802554|Technology Architecture and Digital|1-41460.2|050263|Amazon RDS PostgreSQL|PPRD|REIDSH1|null|NA|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1csrprd|F1CSRPRD|eu-west-1a|oracle-ee|db.m5.2xlarge|f1csrprd.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2022-08-25 17:08:04|128010802554|Technology Architecture and Digital|1-42165.1.01|053140|Amazon RDS Oracle|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1csrqa|F1CSRQA|eu-west-1a|oracle-ee|db.m5.2xlarge|f1csrqa.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-08-10 16:43:43|128010802554|Technology Architecture and Digital|1-42165.1.01|053140|Amazon RDS Oracle|TST|RAJAMRA1|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1mpmaster|f1mpmaster|eu-west-1a|postgres|db.t3.medium|f1mpmaster.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-06-09 03:49:14|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS PostgreSQL|PPRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1mpmasterprd|f1mpmasterprd|eu-west-1b|postgres|db.t3.medium|f1mpmasterprd.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2022-06-09 14:52:32|128010802554|TAD|1-41460.2|045879|Amazon RDS PostgreSQL|PRD|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1nervefpoprod22may|f1nervefpoprod|eu-west-1c|aurora-mysql|db.r6g.2xlarge|f1nervefpoprod22may.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2023-05-23 12:20:14|128010802554|Technology Architecture and Digital|1-41460.2|050236|Amazon RDS Aurora MySQL|PRD|BALASVE2|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1nervefpoprod-instance-1|f1nervefpoprod|eu-west-1a|aurora-mysql|db.r6g.2xlarge|f1nervefpoprod-instance-1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2021-11-09 11:57:36|128010802554|Technology Architecture and Digital|1-41460.2|050236|Amazon RDS Aurora MySQL|PRD|BALASVE2|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1nervefpoprod-instance-1-eu-west-1b|f1nervefpoprod|eu-west-1b|aurora-mysql|db.r6g.2xlarge|f1nervefpoprod-instance-1-eu-west-1b.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2021-11-09 12:08:01|128010802554|Technology Architecture and Digital|1-41460.2|050236|Amazon RDS Aurora MySQL|PRD|BALASVE2|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1nervefpoqa-instance-1|f1nervefpoqa|eu-west-1a|aurora-mysql|db.r6g.xlarge|f1nervefpoqa-instance-1.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-10-14 23:34:08|128010802554|Technology Architecture and Digital|1-42165.1.01|050236|Amazon RDS Aurora MySQL|TST|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1nervefpoqa-instance-1-eu-west-1b|f1nervefpoqa|eu-west-1b|aurora-mysql|db.r6g.xlarge|f1nervefpoqa-instance-1-eu-west-1b.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-10-14 23:40:12|128010802554|Technology Architecture and Digital|1-42165.1.01|050236|Amazon RDS Aurora MySQL|TST|SUNDASH6|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1portalprd01|f1portalprd01|eu-west-1a|postgres|db.t3.medium|f1portalprd01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2021-02-23 11:32:06|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS PostgreSQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1portaltestqa01|f1portaltestqa01|eu-west-1a|postgres|db.t3.medium|f1portaltestqa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2021-02-22 21:16:22|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS PostgreSQL|PPRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1prismprd01|f1prismprd01|eu-west-1a|postgres|db.m6g.large|f1prismprd01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6c73c308,subnet-7d2e8a0b,subnet-018257c47b9cd4b6c|2022-09-06 08:04:26|128010802554|Technology Architecture and Digital|1-42165.1.01|045879|Amazon RDS PostgreSQL|PRD|DENGFA3|null|null|NOT_REQUESTED|null|NOT_APPLICABLE|null|NOT_REQUESTED
f1prismqa01|f1prismqa01|eu-west-1a|postgres|db.m6g.large|f1prismqa01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2022-08-30 16:12:49|128010802554|TIA|1-42165.1.01|045879|Amazon RDS PostgreSQL|PPRD|DENGFA3|null|null|NOT_REQUESTED|null|null|null|NOT_REQUESTED
f1protocolaiprd01|n/a|eu-west-1c|mysql|db.m6g.xlarge|f1protocolaiprd01.cvkckieqzjhn.eu-west-1.rds.amazonaws.com|vpc-1431f770|subnet-6e73c30a,subnet-782e8a0e,subnet-0fcfa26ea4226fbd3|2023-10-31 13:03:12|128010802554|Technology and Infrastructure Service|NA|053218|Protocol AI UC in Prd env|PRD|ACCH1|null|EBS-NVS-D-35_GMT|SCH-NVS-WRKDAYS_GMT|null|null|null|null
